,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    37 Salamanca,53,28,53,11,53,63,52,98,52,78,54,42,54,53,15,53,58,54,19,53,6,52,2,51,38,53,1,52,78,52,11,54,7,55,12,54,5,52,43,53,74,54,19,53,94,53,43,54,5,54,6,52,82,53,41,54,4,55,17,55,71,54,59,53,66,56,2,53,97,51,4,52,47,53,14,54,63,51,98,53,27,53,6,51,7,51,69,52,5,51,91,51,23,51,85,50,52,50,89,50,45,49,76,52,13,50,26,50,7,51,91,51,94,52,24,53,1,51,55,52,87,53,29,52,76,51,94,51,33,51,35,51,3,51,19,49,99,50,76,51,85,49,64,13,2,13,1,14,47,13,1,12,18,13,27,12,85,14,9,12,39,12,44,16,22,17,19,16,22,15,26,17,33,17,1,15,78,13,56,16,22,18,26,21,25,18,7,20,64,23,75,22,99,21,71,20,99,22,39,21,38,18,77,19,29,19,57,17,17,16,24,17,6,16,51,15,75,16,14,16,17,16,6,13,67,14,65,16,29,17,94,16,63,12,13,9,46,7,83,7,28,7,82,10,3,9,21,10,37,9,72,9,11,11,11,92,7,2,8,31,10,16,14,57,14,4,16,33,17,22,15,96,13,62,15,17,16,76,12,79,12,62,13,71,13,51,46,34,46,15,45,87,46,9,46,35,47,2,47,6,45,66,46,94,47,45,44,45,43,23,43,4,45,43,63,43,2,46,7,47,65,45,66,42,85,42,32,44,5,42,81,40,74,41,62,42,33,41,74,41,45,42,48,44,81,44,96,43,9,44,45,47,7,44,76,42,91,44,21,44,56,45,8,43,63,45,99,45,28,43,28,42,41,43,77,45,61,46,39,47,79,46,84,46,91,45,39,45,18,46,73,45,37,46,13,46,14,45,75,48,48,48,69,46,31,45,17,45,62,44,14,43,43,14,44,35,43,52,42,61,43,6,44,36,44,74,42,94,,,,,
    38 Santa Cruz de Tenerife,60,12,59,46,60,24,60,48,60,74,59,44,59,28,59,12,60,44,58,95,58,49,59,98,62,1,61,87,61,72,61,58,62,36,62,6,61,54,61,24,60,88,60,2,60,12,60,7,60,4,60,37,59,44,60,66,60,72,61,32,62,41,62,74,62,27,62,69,63,1,61,86,61,9,61,71,60,2,60,62,60,88,60,4,60,29,59,76,59,68,59,4,59,25,59,71,58,74,59,31,59,98,59,82,59,2,60,5,59,49,58,38,58,53,58,8,57,27,57,57,57,58,58,39,59,8,58,63,59,24,58,36,58,89,57,38,57,29,56,56,56,46,56,6,17,9,19,43,18,5,18,94,19,42,19,52,20,4,20,27,22,64,20,4,22,27,24,8,24,54,25,1,27,34,26,29,25,82,27,35,30,5,29,94,29,32,31,32,32,78,33,19,32,66,32,48,31,96,32,83,31,53,32,37,29,77,30,35,28,89,27,7,26,51,25,93,26,1,26,73,26,37,26,37,24,49,23,36,24,21,23,93,19,5,16,12,14,68,14,22,9,65,10,35,8,53,9,78,10,72,10,91,11,45,11,84,9,62,10,6,11,2,11,17,11,4,12,52,14,35,13,8,13,71,11,84,12,36,11,43,12,9,11,18,11,65,11,6,49,35,47,91,49,1,49,2,48,94,47,83,47,19,47,14,46,76,47,14,45,46,45,54,46,86,46,34,44,85,45,4,46,26,45,8,43,5,42,91,43,3,41,35,40,41,40,13,40,67,40,76,40,44,40,74,41,57,41,47,43,83,43,7,44,28,45,72,46,3,45,82,45,8,45,22,44,19,44,64,45,97,46,29,45,69,45,46,48,4,49,52,50,55,51,22,53,8,53,17,54,86,53,97,52,86,53,5,52,68,51,47,52,9,51,92,50,96,51,14,51,22,51,8,50,6,50,54,51,11,51,45,51,61,50,82,50,37,50,23,49,88,50,34,
    40 Segovia,62,29,60,24,59,27,56,28,56,77,57,76,57,68,57,25,58,6,60,60,44,61,9,61,12,60,78,60,81,59,39,58,84,58,88,60,7,60,43,58,73,59,23,59,56,59,29,59,5,58,92,59,87,57,82,58,11,58,94,56,66,57,9,58,8,57,61,57,6,57,76,57,55,59,13,58,8,58,11,56,59,57,83,57,88,58,14,59,31,60,33,57,49,55,86,56,4,56,1,56,2,56,8,57,33,57,92,56,8,57,57,6,56,43,55,95,56,3,57,55,57,16,54,95,54,13,54,54,55,8,52,8,52,17,51,35,52,62,51,94,50,7,11,11,8,46,9,89,9,87,9,28,11,45,13,24,13,31,12,6,10,73,11,8,12,56,12,63,11,28,15,45,17,28,15,75,13,45,14,11,15,95,14,33,14,9,13,52,15,58,17,79,18,23,20,73,20,56,20,88,18,65,19,46,19,91,15,75,14,12,12,76,12,98,10,78,11,35,13,86,11,7,10,8,11,5,13,53,15,68,10,78,8,62,10,5,11,67,6,16,5,44,5,59,5,2,6,24,7,83,8,61,7,42,4,96,6,5,7,28,8,68,8,4,6,6,10,49,10,9,9,1,8,3,11,56,10,69,10,57,10,27,8,94,8,52,55,37,55,14,53,41,50,72,51,5,51,14,50,4,49,63,50,74,53,56,53,3,53,42,53,4,53,93,51,42,49,12,49,57,50,96,52,13,50,79,50,31,50,89,51,51,50,5,48,91,48,18,47,46,45,93,45,97,47,95,45,64,46,37,48,93,49,48,50,25,50,26,51,35,52,42,50,3,51,31,50,88,51,18,50,5,49,2,52,91,55,13,51,45,49,34,52,59,53,5,52,88,53,85,53,76,53,38,51,91,52,77,54,23,52,76,51,88,51,41,52,93,53,69,49,19,48,67,49,58,50,66,46,7,46,59,45,93,47,21,47,29,46,38,,,
    41 Sevilla,59,58,79,59,1,58,75,59,39,58,79,58,63,59,3,58,34,58,3,58,63,58,51,58,78,57,92,58,95,59,6,60,19,59,99,60,53,60,24,60,81,59,11,59,3,59,17,59,68,58,41,60,11,59,96,59,77,59,3,60,5,60,13,59,57,59,31,59,94,60,9,59,38,59,1,59,5,58,96,59,4,58,25,59,96,60,15,60,28,58,89,59,36,58,71,58,6,58,56,58,3,57,81,57,99,56,78,57,44,57,7,57,42,56,26,56,77,56,17,56,59,56,84,56,1,55,44,55,76,54,68,54,73,53,9,54,37,54,52,54,52,53,95,20,74,21,42,21,83,22,2,20,94,22,25,22,16,24,41,22,42,23,54,24,76,26,37,27,3,28,2,27,1,28,49,29,8,31,23,29,31,32,38,31,41,33,49,32,36,33,85,35,27,34,3,33,45,33,29,32,62,32,63,30,69,30,5,28,37,27,84,25,81,26,51,24,42,26,64,24,47,25,54,25,15,24,11,22,65,22,16,19,72,15,89,14,9,14,13,13,18,12,82,12,89,12,88,12,89,13,4,12,12,13,33,13,14,4,13,7,14,73,16,32,17,79,17,94,17,17,1,18,22,17,93,20,5,21,21,19,31,19,2,20,61,46,77,46,2,46,13,45,82,46,95,45,71,45,64,44,62,45,26,44,58,44,12,43,8,42,89,41,69,43,2,42,23,42,69,41,25,42,79,40,74,41,71,39,32,39,93,39,14,38,63,38,53,40,40,40,28,39,95,41,93,42,6,42,67,42,8,44,47,44,16,44,88,43,29,44,94,43,91,44,46,44,21,46,38,46,82,48,39,49,54,50,99,50,41,50,41,51,5,50,79,50,36,50,51,49,38,50,48,49,47,49,96,48,16,49,35,47,9,47,36,46,73,45,96,46,2,46,23,44,71,44,92,43,9,42,84,43,99,44,5,42,83,,,,,,
    42 Soria,58,77,60,55,57,81,56,15,56,63,57,76,58,63,59,3,61,35,59,45,60,58,57,76,57,67,56,54,63,53,47,54,7,55,84,55,86,57,54,56,15,57,12,57,9,57,43,57,93,57,35,57,22,56,64,57,48,59,23,58,91,56,9,58,7,59,82,59,17,58,36,58,12,58,32,58,1,56,42,54,98,55,53,56,45,55,67,55,77,56,85,56,91,57,2,56,26,57,26,56,38,55,69,54,93,54,27,54,38,54,12,53,41,53,72,53,48,51,76,51,67,52,52,52,3,50,43,51,6,52,59,52,89,52,96,52,25,54,17,50,99,51,98,7,23,7,5,8,75,6,89,4,35,7,84,8,68,11,4,9,55,8,29,13,4,12,48,12,25,10,96,14,18,15,44,13,33,11,95,15,51,15,52,16,96,17,6,16,4,17,72,16,32,14,67,16,98,18,37,15,87,14,32,14,45,14,67,12,9,11,76,14,4,15,78,13,55,11,8,13,32,11,55,12,24,6,85,10,24,12,63,5,66,4,77,6,58,5,32,4,7,5,28,4,7,4,81,5,67,4,62,5,2,5,56,4,6,4,25,6,43,6,12,2,87,3,73,6,88,3,72,4,37,5,98,4,1,4,95,4,32,5,44,4,36,5,26,54,52,56,28,52,76,52,28,54,17,53,23,53,54,52,54,55,5,54,52,52,68,50,56,50,61,49,87,46,88,45,21,47,41,49,17,47,2,48,61,46,63,47,38,47,73,47,26,48,47,48,93,47,51,46,24,48,35,50,75,50,4,48,56,51,12,52,78,50,86,49,15,50,24,51,85,50,29,49,9,48,25,51,73,50,66,48,64,52,61,54,14,53,17,54,16,53,97,54,23,53,73,53,1,51,82,51,76,51,65,51,11,51,24,51,44,50,4,48,6,50,19,50,56,48,45,48,56,49,35,49,44,50,73,50,34,49,99,51,23,48,77,49,25,,
    43 Tarragona,58,6,59,67,59,74,58,17,59,14,60,93,60,45,60,65,60,8,60,7,61,28,58,36,58,7,60,62,60,46,60,93,61,73,63,9,62,93,62,61,61,7,64,7,62,79,60,84,62,72,63,63,63,22,62,42,61,19,61,85,62,16,62,86,62,75,63,48,63,7,62,88,62,69,63,67,62,22,60,37,60,61,62,37,62,28,63,28,62,73,62,48,62,76,62,63,62,17,63,7,61,38,60,6,61,91,61,89,61,7,59,77,60,44,61,68,61,33,60,5,59,62,49,60,36,59,52,60,55,62,32,60,47,59,23,58,94,60,4,60,42,59,6,11,96,12,21,14,16,15,49,15,39,13,93,14,7,15,84,15,92,13,5,14,95,19,98,17,41,18,13,19,43,21,27,21,86,20,55,22,16,23,17,23,12,20,78,23,79,26,16,26,65,25,19,26,76,29,5,25,54,23,43,21,27,23,4,21,86,19,82,18,22,20,4,19,71,18,23,18,14,18,9,17,66,16,16,16,3,18,46,13,74,10,6,9,19,7,25,6,86,5,82,5,96,7,37,6,43,5,8,6,54,6,29,7,42,6,28,7,38,7,47,7,56,8,3,9,45,8,94,7,89,6,27,7,86,9,7,93,7,32,9,13,10,58,51,59,52,38,51,28,49,16,50,4,52,44,51,57,51,4,50,51,51,96,52,12,46,71,47,96,49,63,48,72,47,97,48,24,50,12,48,99,48,1,47,44,50,76,47,86,44,92,46,1,47,6,46,3,44,28,45,57,47,36,48,94,48,15,49,3,50,9,52,1,50,28,50,33,52,6,50,93,49,45,49,9,52,29,52,13,51,6,54,11,56,19,56,99,58,9,57,9,59,4,57,72,56,13,57,93,58,3,57,67,56,1,55,96,57,81,56,8,55,99,54,54,57,3,54,65,54,2,55,77,58,41,55,71,53,9,54,26,55,65,54,9,52,81,,,
    44 Teruel,57,93,56,65,56,88,55,86,56,65,57,35,56,2,54,58,55,56,88,55,61,54,9,56,19,57,49,55,88,57,24,57,17,56,7,57,67,56,47,55,57,54,83,54,7,53,61,53,76,54,19,54,48,53,58,55,58,55,92,55,16,54,54,55,23,54,48,55,14,55,77,54,31,53,71,54,46,55,14,54,55,57,26,57,41,56,23,55,7,54,7,55,62,55,31,55,69,54,73,54,68,53,78,52,31,53,45,51,8,51,37,52,61,54,15,52,79,51,43,46,88,46,84,46,82,47,14,46,77,46,59,45,88,43,73,45,8,44,72,44,68,44,38,9,4,8,9,10,29,11,66,9,23,8,41,8,79,10,21,11,16,10,23,13,16,14,7,12,27,12,75,14,24,14,52,13,15,46,18,5,21,59,19,74,19,82,20,9,19,67,19,65,20,86,19,64,18,82,15,7,16,79,16,73,15,74,14,78,13,95,15,26,14,13,39,14,2,10,37,10,7,8,84,9,26,12,15,10,75,7,41,5,11,7,61,5,25,4,43,5,4,1,4,46,2,88,3,81,4,4,3,94,5,54,4,13,4,63,4,65,4,94,4,37,3,46,4,61,6,58,3,38,4,5,4,27,7,52,5,52,6,15,4,83,52,7,52,7,51,2,49,35,51,43,52,53,51,26,49,1,48,86,51,6,48,29,46,48,49,29,50,15,47,92,48,93,49,73,47,94,47,27,44,28,44,6,43,96,43,27,43,7,43,2,42,89,43,78,43,5,46,86,46,53,45,94,45,96,47,7,46,88,46,72,47,96,47,4,46,18,48,81,49,24,49,73,51,95,50,43,50,19,50,99,51,91,51,39,52,41,53,22,52,52,48,51,38,50,8,51,41,49,52,49,35,49,7,51,91,50,35,49,4,44,57,44,8,45,2,44,97,43,69,45,1,43,81,41,86,41,69,42,25,41,93,42,23,,,,,,
    45 Toledo,59,68,59,9,58,73,59,21,59,26,59,46,59,28,59,32,61,9,59,44,60,61,22,60,94,60,15,59,96,60,26,60,39,60,5,60,16,61,19,60,88,60,77,61,27,62,68,62,85,63,6,63,55,62,53,63,9,61,97,62,54,63,14,62,75,63,26,62,47,61,24,59,71,58,42,59,8,60,34,60,23,60,25,60,32,59,64,59,77,59,58,60,68,60,23,59,73,59,63,58,74,58,3,58,4,58,2,57,82,57,38,57,95,56,73,56,81,54,7,55,29,54,7,54,1,54,37,54,5,54,32,54,51,54,14,54,55,54,58,52,54,52,16,47,16,49,17,86,16,62,17,5,18,3,20,45,21,89,20,33,18,59,22,8,22,65,23,44,24,31,26,8,27,77,27,91,24,86,28,84,29,13,28,7,27,84,28,93,32,88,31,85,31,83,32,39,32,16,30,69,28,25,28,22,27,89,24,75,22,28,24,81,23,64,23,1,20,69,21,5,21,65,19,55,20,65,21,66,19,62,15,96,11,88,10,65,10,4,7,67,6,47,7,19,7,8,7,42,7,69,7,7,8,97,9,48,8,31,10,34,9,42,10,27,9,67,10,56,11,34,11,55,11,46,11,5,12,28,11,7,10,98,12,25,11,12,49,85,49,34,48,24,49,37,48,89,48,74,47,16,46,34,48,67,48,39,46,76,47,35,46,66,45,53,44,32,43,53,43,53,45,46,42,81,43,36,43,79,43,85,43,55,42,7,42,83,42,98,42,97,42,42,43,73,44,46,44,89,45,53,47,22,49,17,46,97,46,77,45,91,46,33,46,38,47,27,48,46,47,81,47,25,47,94,50,23,52,5,54,21,54,18,55,15,55,77,54,52,54,17,54,6,53,56,53,37,52,24,52,46,52,2,50,94,48,98,49,62,49,41,48,38,48,21,48,21,48,9,48,24,47,5,48,17,48,59,46,11,46,22,,,
    46 Valencia/València,57,73,58,31,58,58,58,58,59,14,59,49,60,24,59,5,60,25,60,33,59,5,59,91,60,65,59,62,59,65,60,35,60,5,59,89,59,48,59,77,59,8,59,2,60,27,60,35,60,48,59,9,60,58,61,27,61,25,60,67,60,22,60,49,61,14,61,1,61,13,60,88,60,88,60,36,61,47,61,15,61,15,60,59,61,12,61,42,61,63,61,4,61,78,62,24,61,92,61,3,61,23,61,31,61,45,59,84,59,93,59,89,59,85,58,4,58,88,58,79,59,43,58,52,58,29,57,88,58,7,57,4,58,62,58,43,57,9,57,16,56,83,56,68,12,93,14,58,14,13,9,13,17,15,58,15,66,16,36,16,43,18,85,19,6,19,82,20,24,21,43,20,55,20,67,20,79,21,96,22,5,22,43,22,21,25,88,25,94,27,48,25,43,28,27,29,6,27,88,27,41,27,97,26,18,24,84,23,94,24,5,22,64,23,22,20,9,21,52,22,89,21,5,21,41,21,4,20,75,17,19,13,7,11,83,10,38,9,5,7,85,8,76,7,96,7,4,7,6,8,61,7,54,7,99,7,8,7,85,9,3,10,61,10,56,12,11,9,94,10,5,10,36,11,98,11,73,11,99,11,8,13,2,12,29,11,8,50,27,49,81,50,38,50,91,51,35,50,22,50,81,49,39,50,36,48,96,48,16,48,4,48,37,46,84,47,39,47,87,47,56,46,73,46,37,46,36,46,52,43,75,44,63,43,77,45,1,42,97,42,98,44,19,44,46,43,7,44,46,45,46,46,5,46,7,47,29,46,74,48,16,47,37,47,4,48,48,6,47,62,48,44,50,86,53,18,53,82,55,37,56,61,57,6,55,69,56,36,56,77,56,78,54,69,55,41,55,11,55,61,53,48,53,4,52,56,53,16,51,43,52,49,51,8,52,5,50,52,51,74,51,42,51,7,49,61,49,85,50,4,,,
    47 Valladolid,58,12,58,7,58,4,57,13,58,2,57,47,56,63,56,6,56,41,56,59,57,3,56,4,57,56,26,57,24,57,76,58,57,15,57,19,56,71,56,41,56,74,56,83,57,57,94,57,98,58,82,58,92,59,32,60,58,60,23,59,39,60,46,60,5,60,19,59,93,59,6,59,92,59,23,58,96,59,24,58,96,59,23,58,53,58,7,58,87,59,45,58,87,58,35,58,9,58,48,58,64,58,27,59,24,58,49,57,87,57,1,57,36,55,23,54,86,56,34,55,81,54,18,54,11,54,51,55,62,55,89,56,7,55,23,55,1,54,64,53,95,9,37,11,91,10,74,11,45,10,25,9,86,11,79,12,6,14,32,13,74,13,8,13,44,13,96,12,5,13,84,16,1,15,62,16,4,16,41,16,28,16,65,15,83,19,89,20,22,22,3,19,15,18,47,20,58,19,73,17,82,18,94,19,5,17,86,17,23,15,95,15,48,14,38,15,5,15,83,15,13,54,11,7,13,12,12,19,9,68,8,75,8,92,8,16,6,82,6,92,7,23,7,27,8,7,53,8,1,8,45,8,12,7,89,9,31,11,6,14,51,12,43,12,32,14,47,14,15,13,59,11,98,12,77,11,7,12,57,13,87,14,76,52,67,51,15,51,8,50,58,52,24,51,81,49,95,49,3,48,34,48,81,49,16,48,82,49,4,49,23,49,32,48,46,48,94,47,99,47,8,47,48,47,2,47,75,45,52,45,48,45,17,46,88,47,95,46,8,47,62,49,79,48,82,48,7,49,66,50,8,50,59,50,65,51,3,50,9,49,85,50,11,51,22,52,6,51,47,51,4,53,2,53,72,54,15,54,7,54,37,54,82,54,26,54,37,53,61,54,78,53,75,52,98,52,47,52,84,50,9,48,79,48,16,48,87,47,5,46,28,46,79,48,6,49,19,48,91,49,12,48,18,47,6,45,98,,,,,,
    49 Zamora,50,9,50,32,50,45,49,6,50,29,51,79,50,89,50,9,52,9,52,27,52,73,52,32,53,1,51,95,50,62,50,55,51,64,49,94,50,79,52,85,53,6,52,69,50,38,49,28,48,27,47,97,47,3,46,24,45,63,47,1,48,18,48,7,47,74,49,8,48,67,49,79,49,23,50,68,49,9,46,81,47,32,44,78,48,95,47,21,48,74,49,5,47,41,46,95,47,56,48,79,47,7,45,79,46,89,48,87,47,76,46,64,46,41,47,98,48,5,46,72,44,95,44,23,43,69,42,5,41,5,42,12,41,64,42,15,40,73,40,41,40,85,40,14,14,94,12,38,14,1,14,87,14,57,15,6,17,27,21,4,16,7,14,11,16,5,18,15,16,67,18,1,19,69,21,9,19,56,17,33,22,99,27,83,26,62,26,73,26,3,25,44,25,29,27,4,25,9,27,24,25,41,23,93,22,99,20,53,17,34,17,76,17,66,21,5,16,7,16,72,18,38,16,69,14,43,12,6,16,3,14,3,11,35,10,7,98,8,61,8,43,7,28,8,44,9,44,9,5,8,73,9,71,9,4,10,71,12,1,9,35,8,84,10,99,12,24,11,67,13,36,12,26,13,34,14,21,13,78,8,78,9,41,10,21,10,13,42,61,44,9,43,38,41,77,42,97,43,71,42,1,39,55,44,7,44,9,44,26,42,82,44,17,42,55,40,65,39,89,41,54,41,28,39,11,38,15,38,93,38,61,37,13,36,75,36,6,35,35,43,33,64,34,3,35,83,37,1,38,2,39,46,40,96,40,7,39,31,41,1,42,21,40,73,39,40,49,39,38,41,1,40,46,43,21,44,55,43,63,42,91,43,55,45,24,43,1,41,47,42,64,44,61,43,12,42,43,41,44,42,22,43,97,42,59,40,1,38,82,38,59,36,82,36,42,36,5,35,72,36,35,37,16,36,61,36,68,36,8,,,,
    50 Zaragoza,59,36,60,6,59,53,59,28,59,8,58,92,59,19,58,82,59,1,58,35,59,81,59,59,59,87,59,9,60,34,59,77,58,95,59,13,59,21,58,84,59,13,59,79,60,37,60,15,60,6,60,7,60,24,60,56,61,49,61,25,60,85,59,87,59,71,59,57,59,77,58,91,59,31,59,2,59,55,60,27,60,7,59,96,59,97,60,61,60,98,60,37,60,72,60,42,60,81,61,51,61,53,59,78,58,78,58,19,58,28,57,32,57,69,58,5,59,57,87,56,67,56,46,55,83,55,8,55,8,54,6,54,8,54,44,53,73,52,56,52,14,51,66,10,13,10,31,10,6,10,65,11,61,10,44,10,12,12,15,12,14,11,52,11,39,13,63,13,95,16,17,15,86,15,67,15,33,15,18,17,13,18,78,18,9,19,13,21,68,23,69,20,93,21,6,23,26,24,27,20,9,20,23,19,95,19,41,17,73,17,36,18,51,19,64,17,52,14,33,15,18,16,18,14,66,12,78,14,6,14,32,10,74,7,9,7,16,6,41,5,34,5,37,5,78,6,3,5,22,5,14,6,17,6,59,5,56,5,2,6,55,6,8,5,58,4,84,5,75,7,36,7,3,6,55,8,1,8,43,7,9,6,3,6,6,5,52,53,34,53,87,53,54,52,97,52,85,52,77,53,2,51,67,51,85,51,63,52,99,51,47,51,52,50,22,50,77,50,4,49,91,50,15,49,7,47,79,47,96,48,35,47,28,45,9,47,48,47,58,46,23,45,87,49,13,48,86,48,71,48,25,49,12,49,22,48,7,47,34,48,92,50,72,50,51,50,52,51,27,52,29,51,54,51,93,54,43,56,9,56,37,56,54,57,57,58,21,57,97,56,2,55,71,55,2,54,68,53,55,54,48,55,3,55,13,54,35,53,51,53,72,52,62,51,7,51,2,51,3,50,36,49,84,49,92,49,39,48,98,48,81,,
    51 Ceuta,58,82,58,63,57,52,57,35,55,4,59,5,61,67,59,5,56,95,55,8,53,53,57,59,55,29,56,73,58,91,58,77,55,89,60,32,56,57,7,60,82,60,16,57,37,57,3,59,31,58,56,59,86,63,6,57,8,59,88,60,45,59,86,61,22,54,68,57,14,57,6,55,98,55,47,56,91,58,14,54,73,57,25,57,95,60,76,58,7,56,17,56,37,54,54,55,48,53,21,52,38,53,6,49,1,54,2,53,18,58,79,60,33,60,49,58,42,58,93,48,33,46,35,48,89,50,88,50,1,48,56,50,23,49,69,45,69,46,62,45,42,73,27,58,28,76,24,61,22,31,24,2,30,79,29,46,31,44,26,3,22,36,17,79,23,3,22,39,24,64,26,28,26,21,23,25,30,59,24,59,31,76,32,46,31,95,31,4,31,56,36,78,30,96,33,91,37,51,37,17,38,8,37,4,34,71,27,19,31,4,27,2,25,73,24,83,21,98,26,8,22,79,24,1,19,64,15,39,15,49,15,66,17,85,19,48,16,81,20,18,21,2,20,11,22,53,14,44,19,79,23,18,27,49,17,14,17,69,23,9,19,84,6,59,7,67,13,9,15,25,9,65,8,93,9,79,9,47,5,7,7,73,7,66,7,1,42,59,41,77,43,36,44,55,42,9,40,87,43,5,40,49,42,12,42,76,44,1,44,17,42,91,42,76,43,43,43,37,42,9,41,87,42,23,38,94,41,8,40,94,39,35,39,22,37,5,40,43,39,56,39,75,36,31,36,64,37,84,39,8,44,58,37,71,41,7,42,38,42,8,43,28,42,7,44,89,41,59,46,1,49,3,51,34,49,5,46,15,45,38,45,37,44,29,41,93,41,84,41,11,41,93,43,47,40,85,42,63,49,99,49,79,44,93,47,24,45,15,42,8,42,1,43,12,45,26,44,23,45,31,44,98,43,8,43,2,41,55,39,74,,,
    52 Melilla,58,8,58,41,62,5,63,33,62,3,64,46,63,88,60,92,60,72,60,2,60,25,57,92,59,85,59,71,57,88,56,76,55,78,57,68,57,46,58,11,55,65,54,6,55,8,56,25,59,41,61,59,58,29,57,31,56,77,57,78,58,66,54,28,54,57,57,23,55,88,58,71,54,36,54,41,52,97,54,73,52,62,53,9,56,39,54,67,50,68,57,15,55,85,56,81,57,42,57,27,55,92,52,53,53,27,55,5,53,8,54,34,51,88,50,12,53,9,53,72,52,38,58,51,56,68,57,5,57,66,47,24,46,82,45,88,47,78,47,4,46,4,49,73,26,81,28,99,26,21,25,92,23,85,24,1,27,96,27,24,24,62,26,16,30,22,29,46,27,38,31,22,33,84,30,67,32,64,31,4,36,35,35,4,29,52,30,49,29,16,24,43,33,79,39,19,27,8,28,85,26,41,29,6,28,59,23,37,24,84,21,99,21,47,21,33,24,46,23,49,23,38,19,76,19,87,23,2,24,93,25,87,16,17,22,69,18,2,22,69,17,43,17,89,21,7,15,67,9,86,12,98,14,65,16,92,12,33,11,82,15,64,17,24,12,49,19,75,17,34,20,77,19,88,6,53,5,6,1,95,3,57,2,6,0,41,10,3,42,51,41,48,45,79,46,91,47,23,48,98,46,1,44,32,45,77,44,32,42,4,40,86,43,46,41,7,38,29,39,35,37,57,39,57,36,58,37,54,39,23,37,58,39,2,42,51,39,33,37,45,42,9,40,78,41,78,40,99,41,89,41,59,41,1,44,64,43,88,46,19,41,7,41,63,40,58,43,91,42,16,40,78,42,34,40,52,42,49,44,18,45,79,43,92,47,42,47,2,43,79,44,3,48,2,47,91,45,92,45,14,45,48,44,19,44,79,44,46,45,84,46,95,46,85,45,56,46,19,44,16,44,45,44,98,46,8,46,17,46,21,44,61,
